Coords,Country,Frequency
"[56.130366, -106.346771]",Canada,43
"[-14.235004, -51.92528]",Brazil,216
"[25.354826, 51.183884]",Qatar,1
"[41.87194, 12.56738]",Italy,14
"[23.684994, 90.356331]",Bangladesh,102
,,2
"[12.862807, 30.217636]",Sudan,22
"[29.31166, 47.481766]",Kuwait,22
"[35.907757, 127.766922]","Korea, Republic of",2
"[55.169438, 23.881275]",Lithuania,4
"[12.565679, 104.990963]",Cambodia,16
"[46.227638, 2.213749]",France,43
"[9.145, 40.489673]",Ethiopia,18
"[9.081999, 8.675277]",Nigeria,34
"[-16.290154, -63.588653]",Bolivia,20
"[6.42375, -66.58973]",Venezuela,324
"[-38.416097, -63.616672]",Argentina,21
"[41.377491, 64.585262]",Uzbekistan,18
"[23.885942, 45.079162]",Saudi Arabia,20
"[64.963051, -19.020835]",Iceland,3
,"Iran, Islamic Republic of",50
"[51.165691, 10.451526]",Germany,25
"[-35.675147, -71.542969]",Chile,43
"[61.52401, 105.318756]",Russian Federation,444
"[35.86166, 104.195397]",China,270
"[22.396428, 114.109497]",Hong Kong,106
"[12.879721, 121.774017]",Philippines,83
"[40.463667, -3.74922]",Spain,10
"[48.379433, 31.16558]",Ukraine,132
"[41.20438, 74.766098]",Kyrgyzstan,11
"[52.132633, 5.291266]",Netherlands,4
"[40.069099, 45.038189]",Armenia,24
"[51.919438, 19.145136]",Poland,22
"[-0.789275, 113.921327]",Indonesia,667
"[38.963745, 35.243322]",Turkey,99
"[37.09024, -95.712891]",United States,369
"[60.128161, 18.643501]",Sweden,3
"[14.058324, 108.277199]",Vietnam,551
"[45.1, 15.2]",Croatia,1
"[15.870032, 100.992541]",Thailand,115
"[46.818188, 8.227512]",Switzerland,3
"[30.375321, 69.345116]",Pakistan,100
"[45.943161, 24.96676]",Romania,1
"[-4.679574, 55.491977]",Seychelles,6
"[-11.202692, 17.873887]",Angola,4
"[39.399872, -8.224454]",Portugal,25
"[23.634501, -102.552784]",Mexico,59
"[26.820553, 30.802498]",Egypt,109
"[23.424076, 53.847818]",United Arab Emirates,18
"[48.019573, 66.923684]",Kazakhstan,12
"[20.593684, 78.96288]",India,496
"[55.378051, -3.435973]",United Kingdom,69
"[4.570868, -74.297333]",Colombia,18
"[7.873054, 80.771797]",Sri Lanka,22
"[36.204824, 138.252924]",Japan,61
"[23.69781, 120.960515]",Taiwan,119
