Activity,Country,Date,IP,Port,StatusCode,Timestamp
EternalBlue SMB Vulnerability,Indonesia,2018-05-11,125.161.96.19,443,068,00:39:14
EternalBlue SMB Vulnerability,Indonesia,2018-05-11,125.161.96.19,443,162,00:39:14
EternalBlue SMB Vulnerability,Indonesia,2018-05-11,125.161.96.19,443,981,00:39:14
EternalBlue SMB Vulnerability,Indonesia,2018-05-11,125.161.96.19,443,073,00:39:15
EternalBlue SMB Vulnerability,Indonesia,2018-05-11,125.161.96.19,443,092,00:39:50
EternalBlue SMB Vulnerability,Indonesia,2018-05-11,125.161.96.19,443,196,00:39:50
EternalBlue SMB Vulnerability,Indonesia,2018-05-11,125.161.96.19,443,770,00:39:50
EternalBlue SMB Vulnerability,Indonesia,2018-05-11,125.161.96.19,443,870,00:39:50
EternalBlue SMB Vulnerability,Indonesia,2018-05-11,125.161.96.19,443,379,00:40:21
EternalBlue SMB Vulnerability,Indonesia,2018-05-11,125.161.96.19,443,503,00:40:21
EternalBlue SMB Vulnerability,Indonesia,2018-05-11,125.161.96.19,443,225,00:40:22
EternalBlue SMB Vulnerability,Indonesia,2018-05-11,125.161.96.19,443,348,00:40:22
EternalBlue SMB Vulnerability,Indonesia,2018-05-11,125.161.96.19,443,340,00:40:52
EternalBlue SMB Vulnerability,Indonesia,2018-05-11,125.161.96.19,443,470,00:40:52
EternalBlue SMB Vulnerability,Indonesia,2018-05-11,125.161.96.19,443,136,00:40:53
EternalBlue SMB Vulnerability,Indonesia,2018-05-11,125.161.96.19,443,236,00:40:53
EternalBlue SMB Vulnerability,Indonesia,2018-05-11,125.161.96.19,443,720,00:41:22
EternalBlue SMB Vulnerability,Indonesia,2018-05-11,125.161.96.19,443,845,00:41:22
EternalBlue SMB Vulnerability,Indonesia,2018-05-11,125.161.96.19,443,547,00:41:23
EternalBlue SMB Vulnerability,Indonesia,2018-05-11,125.161.96.19,443,662,00:41:23
EternalBlue SMB Vulnerability,Indonesia,2018-05-11,36.81.16.195,443,410,01:00:19
EternalBlue SMB Vulnerability,Indonesia,2018-05-11,36.81.16.195,443,525,01:00:19
EternalBlue SMB Vulnerability,Indonesia,2018-05-11,36.81.16.195,443,454,01:00:20
EternalBlue SMB Vulnerability,Indonesia,2018-05-11,36.81.16.195,443,567,01:00:20
EternalBlue SMB Vulnerability,Vietnam,2018-05-11,27.72.41.216,443,514,01:00:21
EternalBlue SMB Vulnerability,Vietnam,2018-05-11,27.72.41.216,443,604,01:00:21
EternalBlue SMB Vulnerability,Vietnam,2018-05-11,27.72.41.216,443,436,01:00:22
EternalBlue SMB Vulnerability,Vietnam,2018-05-11,27.72.41.216,443,522,01:00:22
