Country,Date,IP,RequestMethod,Resource,StatusCode,Timestamp
China,2018-03-11,42.80.229.150,GET,index.html,033,01:21:10
United States,2018-03-11,196.52.43.115,GET,index.html,472,09:26:41
Canada,2018-03-11,216.244.83.210,GET,index.html,764,09:46:49
China,2018-03-11,101.251.246.66,GET,index.html,267,12:46:25
Sweden,2018-03-11,178.73.215.171,GET,index.html,842,15:32:51
United States,2018-03-11,76.100.27.231,GET,index.html,030,17:32:20
United States,2018-03-11,76.100.27.231,GET,/style.css,649,17:32:23
United States,2018-03-11,76.100.27.231,GET,index.html,869,17:32:37
United States,2018-03-11,66.249.83.78,GET,index.html,851,17:37:32
United States,2018-03-11,66.249.83.76,GET,/favicon.ico,025,17:37:33
