Coords,Country,Frequency
"[56.130366, -106.346771]",Canada,10
"[-14.235004, -51.92528]",Brazil,46
"[41.87194, 12.56738]",Italy,10
"[30.0, -40.0]",Unknown,1
"[35.907757, 127.766922]","Korea, Republic of",5
"[46.227638, 2.213749]",France,38
"[48.669026, 19.699024]",Slovakia,1
"[-26.522503, 31.465866]",Swaziland,1
"[-38.416097, -63.616672]",Argentina,2
"[60.472024, 8.468946]",Norway,1
"[-1.831239, -78.183406]",Ecuador,1
"[60.0, 60.0]",Europe,4
"[31.046051, 34.851612]",Israel,1
"[1.352083, 103.819836]",Singapore,16
"[15.783471, -90.230759]",Guatemala,3
"[35.86166, 104.195397]",China,91
"[-35.675147, -71.542969]",Chile,1
"[61.52401, 105.318756]",Russian Federation,85
"[51.165691, 10.451526]",Germany,14
"[22.396428, 114.109497]",Hong Kong,10
"[51.919438, 19.145136]",Poland,2
"[40.463667, -3.74922]",Spain,1
"[48.379433, 31.16558]",Ukraine,11
"[20.593684, 78.96288]",India,3
"[52.132633, 5.291266]",Netherlands,809
"[12.879721, 121.774017]",Philippines,2
"[-0.789275, 113.921327]",Indonesia,69
"[37.09024, -95.712891]",United States,2131
"[60.128161, 18.643501]",Sweden,26
"[14.058324, 108.277199]",Vietnam,2
"[15.870032, 100.992541]",Thailand,2
"[45.943161, 24.96676]",Romania,4
"[-4.679574, 55.491977]",Seychelles,22
"[23.634501, -102.552784]",Mexico,2
"[23.424076, 53.847818]",United Arab Emirates,1
"[-30.559482, 22.937506]",South Africa,1
"[44.016521, 21.005859]",Serbia,1
"[55.378051, -3.435973]",United Kingdom,3
"[4.570868, -74.297333]",Colombia,17
"[36.204824, 138.252924]",Japan,17
"[23.69781, 120.960515]",Taiwan,22
