DateStamp,NumHits
2018-03-09,28
2018-03-10,7
2018-03-11,18
2018-03-12,26
2018-03-13,21
2018-03-20,8
2018-03-21,7
2018-03-22,18
2018-03-23,11
2018-03-24,5
2018-03-25,15
2018-03-26,54
2018-03-27,93
2018-03-28,1802
2018-03-29,6
2018-03-30,97
2018-03-31,20
2018-04-01,16
2018-04-02,20
2018-04-03,6
2018-04-08,740
2018-04-09,28
2018-04-10,18
2018-04-11,23
2018-04-12,33
2018-04-13,35
2018-04-14,33
2018-04-15,43
2018-04-16,26
2018-04-17,22
2018-04-18,18
2018-04-19,79
2018-04-20,20
2018-04-21,60
2018-04-22,2
2018-04-24,10
2018-04-25,21
