Frequency,Resource
1,/TvLBvkHh.ml
1,virgil.cgi
1,/cgi-bin/htmlscript?../../../../../../../../../../etc/passwd
1,/main.php?basepath=-5430%29%29%29%20OR%205746%3D5746%23
1,/cgi-bin/LWGate
2,/mysql-admin/index.php
1,/scripts/tools/dsnform.exe
1,/504/
1,/index.pl
1,/3rdparty/phpMyAdmin/db_details_importdocsql.php?submit_show=true&do=import&docpath=../
4,/main.php?basepath=%29%29%29%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%23
1,/sip/
1,/mailman/listinfo/%3Cscript%3Ealert('Vulnerable')%3C/script%3E
2,/cgi-bin/cgiwrap/~nuucp
1,/main.php?basepath=-1972%22%29%29%20OR%205645%3D1861%23
4,/main.php?basepath=%29%29%29%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%23
1,/cgi-bin/talkback.cgi?article=../../../../../../../../etc/passwd%00&action=view&matchview=1
1,/TvLBvkHh.cp-1251
1,dansguardian.pl?DENIEDURL=</a><script>alert('Vulnerable');</script>
1,/current/modules.php?mod=fm&file=../../../../../../../../../../etc/passwd%00&bn=fm_d1
1,/admin/cplogfile.log
1,/nsn/..%5Cutil/lancard.bas
