Coords,Country,Frequency
"[56.130366, -106.346771]",Canada,3272
,,9
"[30.0, -40.0]",Unknown,6672
"[8.537981, -80.782127]",Panama,9
"[35.907757, 127.766922]","Korea, Republic of",2307
"[55.169438, 23.881275]",Lithuania,11
"[12.565679, 104.990963]",Cambodia,18
"[53.41291, -8.24389]",Ireland,165
"[-38.416097, -63.616672]",Argentina,294
"[-1.831239, -78.183406]",Ecuador,226
"[23.684994, 90.356331]",Bangladesh,794
"[7.946527, -1.023194]",Ghana,16
"[23.885942, 45.079162]",Saudi Arabia,2
"[53.709807, 27.953389]",Belarus,49
"[50.503887, 4.469936]",Belgium,66
"[46.151241, 14.995463]",Slovenia,33
"[15.783471, -90.230759]",Guatemala,44
"[43.915886, 17.679076]",Bosnia and Herzegovina,14
"[-35.675147, -71.542969]",Chile,388
"[29.31166, 47.481766]",Kuwait,260
"[61.52401, 105.318756]",Russian Federation,10648
"[35.86166, 104.195397]",China,49954
"[17.189877, -88.49765]",Belize,2
"[40.463667, -3.74922]",Spain,387
"[-25.274398, 133.775136]",Australia,196
"[52.132633, 5.291266]",Netherlands,776
,Lao People's Democratic Republic,20
"[30.375321, 69.345116]",Pakistan,52
"[56.26392, 9.501785]",Denmark,46
"[12.879721, 121.774017]",Philippines,82
"[31.791702, -7.09262]",Morocco,11
"[-4.679574, 55.491977]",Seychelles,119
"[45.1, 15.2]",Croatia,1160
"[15.870032, 100.992541]",Thailand,535
"[46.818188, 8.227512]",Switzerland,69
"[-40.900557, 174.885971]",New Zealand,9
"[-14.235004, -51.92528]",Brazil,1918
"[18.109581, -77.297508]",Jamaica,29
"[41.153332, 20.168331]",Albania,57
,"Tanzania, United Republic of",8
,Myanmar,4
"[58.595272, 25.013607]",Estonia,6
"[-32.522779, -55.765835]",Uruguay,26
"[23.424076, 53.847818]",United Arab Emirates,18
"[23.634501, -102.552784]",Mexico,174
"[20.593684, 78.96288]",India,1933
"[40.143105, 47.576927]",Azerbaijan,11
"[41.377491, 64.585262]",Uzbekistan,15
"[26.820553, 30.802498]",Egypt,220
"[17.060816, -61.796428]",Antigua and Barbuda,9
"[4.570868, -74.297333]",Colombia,352
"[-0.023559, 37.906193]",Kenya,164
"[23.69781, 120.960515]",Taiwan,340
"[12.865416, -85.207229]",Nicaragua,18
"[38.963745, 35.243322]",Turkey,134
"[41.87194, 12.56738]",Italy,1844
"[49.817492, 15.472962]",Czech Republic,157
"[27.514162, 90.433601]",Bhutan,31
"[21.00789, -10.940835]",Mauritania,9
"[28.394857, 84.124008]",Nepal,45
"[46.862496, 103.846656]",Mongolia,76
"[46.227638, 2.213749]",France,5354
,"Iran, Islamic Republic of",91
"[48.669026, 19.699024]",Slovakia,38
"[-9.189967, -75.015152]",Peru,10
"[9.081999, 8.675277]",Nigeria,59
"[60.472024, 8.468946]",Norway,47
"[-13.254308, 34.301525]",Malawi,64
"[12.226079, -69.060087]",Netherlands Antilles,33
"[31.046051, 34.851612]",Israel,19
"[1.352083, 103.819836]",Singapore,672
"[6.42375, -66.58973]",Venezuela,52
"[-13.133897, 27.849332]",Zambia,7
"[42.708678, 19.37439]",Montenegro,67
"[47.516231, 14.550072]",Austria,82
"[30.585164, 36.238414]",Jordan,3
"[40.069099, 45.038189]",Armenia,42
"[18.735693, -70.162651]",Dominican Republic,49
"[51.165691, 10.451526]",Germany,1568
"[48.019573, 66.923684]",Kazakhstan,77
"[51.919438, 19.145136]",Poland,584
,"Moldova, Republic of",6
"[48.379433, 31.16558]",Ukraine,1061
"[60.0, 60.0]",Europe,14
"[41.20438, 74.766098]",Kyrgyzstan,9
"[-0.789275, 113.921327]",Indonesia,818
"[61.92411, 25.748151]",Finland,33
"[37.09024, -95.712891]",United States,8099
"[10.691803, -61.222503]",Trinidad and Tobago,5
"[60.128161, 18.643501]",Sweden,86
"[14.058324, 108.277199]",Vietnam,2524
"[36.204824, 138.252924]",Japan,491
"[42.733883, 25.48583]",Bulgaria,381
"[45.943161, 24.96676]",Romania,151
"[-11.202692, 17.873887]",Angola,14
"[39.399872, -8.224454]",Portugal,42
"[-30.559482, 22.937506]",South Africa,233
"[33.886917, 9.537499]",Tunisia,35
"[35.126413, 33.429859]",Cyprus,27
"[44.016521, 21.005859]",Serbia,42
"[55.378051, -3.435973]",United Kingdom,15162
"[4.210484, 101.975766]",Malaysia,163
"[14.497401, -14.452362]",Senegal,25
"[56.879635, 24.603189]",Latvia,39
"[39.074208, 21.824312]",Greece,2
"[-23.442503, -58.443832]",Paraguay,104
"[47.162494, 19.503304]",Hungary,219
"[17.607789, 8.081666]",Niger,4
"[-22.328474, 24.684866]",Botswana,53
