DateStamp,NumHits
2018-02-26,1
2018-02-27,461
2018-02-28,3341
2018-03-01,1181
2018-03-02,1153
2018-03-03,1237
2018-03-04,909
2018-03-05,1737
2018-03-06,2309
2018-03-07,1597
2018-03-08,1933
2018-03-09,2645
2018-03-10,1489
2018-03-11,1433
2018-03-12,1469
2018-03-13,8309
2018-03-14,1517
2018-03-15,1753
2018-03-16,993
2018-03-22,1041
2018-03-23,16701
2018-03-24,1497
2018-03-25,1653
2018-03-26,2241
2018-03-27,1281
2018-03-28,1405
2018-03-29,1589
2018-03-31,1241
2018-04-01,1945
2018-04-02,1453
2018-04-27,539
2018-04-28,1299
2018-04-29,1141
2018-04-30,811
