Coords,Country,Frequency
"[61.0666922, -107.9917071]",Canada,6
"[-10.3333333, -53.2]",Brazil,34
"[52.5001698, 5.7480821]",Netherlands,803
"[42.6384261, 12.674297]",Italy,3
"[44.1534121, 20.55144]",Serbia,1
"[52.0977181, 19.0258159]",Poland,1
"[-4.7993356, 114.5632032]",Indonesia,66
"[22.5000485, -100.0000375]",Mexico,1
"[46.603354, 1.8883335]",France,19
"[39.7837304, -100.4458825]",United States,1957
"[59.6749712, 14.5208584]",Sweden,25
"[13.2904027, 108.4265113]",Vietnam,1
"[-26.5624806, 31.3991317]",Swaziland,1
"[36.5748441, 139.2394179]",Japan,9
"[-34.9964963, -64.9672817]",Argentina,1
"[60.5000209, 9.0999715]",Norway,1
"[-1.3397668, -79.3666965]",Ecuador,1
"[49.4871968, 31.2718321]",Ukraine,1
"[-4.6574977, 55.4540146]",Seychelles,13
"[1.357107, 103.8194992]",Singapore,1
"[24.0002488, 53.9994829]",United Arab Emirates,1
"[-28.8166236, 24.991639]",South Africa,1
"[22.3511148, 78.6677428]",India,2
"[15.6356088, -89.8988087]",Guatemala,3
"[35.000074, 104.999927]",China,47
"[2.8894434, -73.783892]",Colombia,17
"[64.6863136, 97.7453061]",Russian Federation,7
"[51.0834196, 10.4234469]",Germany,1
"[40.0028028, -4.003104]",Spain,1
